trainer,sire,evaluation,comment
友道康夫,ブラックタイド,◎,キタサンブラック(父ブラックタイド)がGI7勝。晩成ステイヤー血統を長期育成方針でじっくり仕上げる哲学と高い親和性。
友道康夫,ハーツクライ,◯,ドウデュース(父ハーツクライ、日本ダービー等)を管理。ハーツクライ産駒はスタミナ・晩成型が多いとされ非急仕上げ方針と適合的。
藤原英昭,情報不足,情報不足,得意種牡馬の統計的傾向はWebSearchでは確認できず。
矢作芳人,コントレイル,◎,無敗三冠馬コントレイル自身を管理し、自厩舎の看板種牡馬候補としても言及される代表例。
矢作芳人,リアルスティール,◯,調教師本人が得意種牡馬として言及(出典:g1-pro.jp)。
矢作芳人,パンサラッサ,◯,調教師本人が得意種牡馬として言及(出典:g1-pro.jp)。
木村哲也,情報不足,情報不足,イクイノックス(父キタサンブラック)の実績はあるが、厩舎全体としての種牡馬別傾向の統計的裏付けは未確認。
手塚貴久,情報不足,情報不足,フィエールマン・ソールオリエンス・シュネルマイスターなど多彩な血統で実績があるが統計的傾向は未確認。
中内田充正,ドゥラメンテ,◯,リバティアイランド(父ドゥラメンテ、牝馬三冠)の実績があるが厩舎全体の統計的傾向は未確認。
堀宣行,情報不足,情報不足,得意種牡馬の統計的傾向はWebSearchでは確認できず。
池江泰寿,キズナ,△,芝でキズナ・ルーラーシップ・クロフネ系との相性が良いとの分析があるが出典確度は中程度。
池江泰寿,Justify,△,ダートでJustify・サトノアラジン系との相性が良いとの分析があるが出典確度は中程度。
斉藤崇史,情報不足,情報不足,得意種牡馬の統計的傾向はWebSearchでは確認できず。クロノジェネシス・ジェラルディーナの実績のみ確認。
杉山晴紀,キズナ,△,デアリングタクト等でキズナ産駒への言及があるが確度は中程度。
須貝尚介,クロフネ,◎,ソダシ(父クロフネ、NHKマイルC等)が芝短距離~マイルで活躍。クロフネ産駒はスピード型とされ相性が良い。
須貝尚介,ステイゴールド,◎,ゴールドシップ(父ステイゴールド、天皇賞春等)が長距離・粘り強さで活躍。ステイゴールド系の個性派を乗りこなす技量がうかがえる。
高橋亮,情報不足,情報不足,得意種牡馬の傾向はWebSearchでは確認できず。
中竹和也,情報不足,情報不足,得意種牡馬の傾向はWebSearchでは確認できず。
上村洋行,情報不足,情報不足,得意種牡馬の傾向はWebSearchでは確認できず。
高柳瑞樹,キタサンブラック,△,スターズオンアース等の血統で言及があるが厩舎全体の統計的傾向は未確認。
斎藤誠,情報不足,情報不足,得意種牡馬の傾向はWebSearchでは確認できず。
田中博康,ダート適性血統全般,◎,レモンポップ・ミッキーファイト・鳴神など父系を問わずダートGIでの強さが顕著。ダート馬の仕上げに定評。
田中博康,情報不足(芝),情報不足,2026年安田記念(シックスペンス)で芝GI初制覇したが、芝の得意種牡馬傾向はまだ情報不足。
松永幹夫,情報不足,情報不足,ラッキーライラック等の実績はあるが得意種牡馬の統計的傾向は未確認。
大久保龍志,情報不足,情報不足,ディープボンド等の実績はあるが得意種牡馬の統計的傾向は未確認。
昆貢,情報不足,情報不足,ディープスカイ・ヒルノダムール等の実績はあるが得意種牡馬の統計的傾向は未確認。
