trainer,category,score,reason
友道康夫,クラブ馬実績,29,サンデーレーシング所属キタサンブラック(GI7勝)を管理。クラブ馬勝ち上がり率・OP到達率等の統計値は情報不足のため加点は定性評価中心。
友道康夫,種牡馬相性,16,父ブラックタイドのキタサンブラックなど晩成ステイヤー血統と、長期育成方針の相性が明確に確認できる。
友道康夫,直近3年成績,15,2025年JRAリーディング5位、45勝/195戦、勝率.144、連対率.269、複勝率.375(出典:ittai.net)。
友道康夫,運用力,16,『馬優先』で無理をさせない方針、ノーザンファーム等外部施設も活用する柔軟な運用が確認できる。
友道康夫,ブランド,5,顕彰馬キタサンブラックの管理実績によりブランド力は最上位。
藤原英昭,クラブ馬実績,25,サンデーサラブレッドクラブ所属シャフリヤール(日本ダービー、ドバイシーマクラシック)を管理。クラブ馬統計は情報不足。
藤原英昭,種牡馬相性,9,得意種牡馬の統計的傾向はWebSearchでは確認できず情報不足。
藤原英昭,直近3年成績,11,2025年2月JRA通算900勝達成(史上26人目)という事実はあるが、直近3年の具体的な順位・勝率は情報不足。
藤原英昭,運用力,10,運用方針についての具体的なコメント・裏付けは情報不足。
藤原英昭,ブランド,5,日本ダービー・ドバイシーマクラシック制覇、2018年リーディングなど高いブランド力。
矢作芳人,クラブ馬実績,27,サンデーレーシング所属コントレイル(無敗三冠)を管理。クラブ馬統計は情報不足。
矢作芳人,種牡馬相性,15,リアルスティール・モズアスコット・パンサラッサ等、得意種牡馬を自ら明言している点で高評価。
矢作芳人,直近3年成績,16,2024年JRAリーディング獲得(55勝)、900勝達成など直近の実績は明確。
矢作芳人,運用力,9,多数出走方針のため勝率・連対率・複勝率が上位厩舎の中では低水準との指摘があり評価を抑制。
矢作芳人,ブランド,5,無敗三冠馬コントレイルの実績で最上位ブランド。
木村哲也,クラブ馬実績,30,シルクレーシング所属イクイノックス(世界ランキング1位)を管理。クラブ馬統計は情報不足だが代表馬の格が高い。
木村哲也,種牡馬相性,8,得意種牡馬の統計的傾向は情報不足。
木村哲也,直近3年成績,18,2025年リーディング6位、勝率.230・連対率.403・複勝率.461と高い的中率(出典:oddspark等)。
木村哲也,運用力,12,出走数を抑えた効率的な運用がうかがえるが具体的コメントは情報不足。
木村哲也,ブランド,5,世界ランキング1位イクイノックスの実績で最上位ブランド。
手塚貴久,クラブ馬実績,28,サンデーサラブレッドクラブ所属フィエールマン等を管理。クラブ馬統計は情報不足。
手塚貴久,種牡馬相性,10,得意種牡馬の統計的傾向は情報不足だが、多彩な血統でGIを制している。
手塚貴久,直近3年成績,12,2025年14位、34勝/222戦、勝率.107(出典:oddspark、日付表記に一部不整合あり確度中)。
手塚貴久,運用力,12,マイル~長距離まで路線を使い分けている点は運用力の証左。
手塚貴久,ブランド,5,フィエールマン・ソールオリエンス等複数GIでブランド力は高い。
中内田充正,クラブ馬実績,31,サンデーサラブレッドクラブ所属リバティアイランド(牝馬三冠)を管理し、2023・2025年ともにリーディング3位。
中内田充正,種牡馬相性,12,ドゥラメンテ産駒リバティアイランドの実績はあるが統計的な種牡馬傾向は情報不足。
中内田充正,直近3年成績,18,2023年3位、2025年3位(49勝)と直近3年で安定した高順位を維持。
中内田充正,運用力,15,ノーザンファームしがらきを活用したローテーション構築が具体的数値(4年で298戦)とともに確認できる。
中内田充正,ブランド,5,牝馬三冠+ジャパンカップ+香港カップ制覇で最上位ブランド。
堀宣行,クラブ馬実績,26,シルクホースクラブ所属サリオスを管理。クラブ馬統計は情報不足。
堀宣行,種牡馬相性,8,得意種牡馬の統計的傾向は情報不足。
堀宣行,直近3年成績,6,直近3年(2024-2026)の具体的な順位・勝率データは情報不足。
堀宣行,運用力,8,運用スタイルの具体的な情報は情報不足。
堀宣行,ブランド,5,モーリス(世界的マイラー)含む重賞90勝・GI25勝の実績で最上位ブランド。
池江泰寿,クラブ馬実績,29,サンデーレーシング所属オルフェーヴル(三冠)を管理。クラブ馬統計は情報不足。
池江泰寿,種牡馬相性,13,芝はキズナ・ルーラーシップ・クロフネ系、ダートはJustify系との相性の分析があるが確度は中程度。
池江泰寿,直近3年成績,14,2026年1月JRA通算900勝達成、2025年ソウルラッシュのドバイターフ制覇など直近の勢いは確認できる。
池江泰寿,運用力,9,運用スタイルの具体的コメントは情報不足。
池江泰寿,ブランド,5,クラシック三冠馬オルフェーヴルの実績で最上位ブランド。
斉藤崇史,クラブ馬実績,30,サンデーレーシング所属クロノジェネシス(GI4勝)を管理。馬房数20・勝ち上がり率34%という具体的数値が確認できる。
斉藤崇史,種牡馬相性,9,得意種牡馬の統計的傾向は情報不足。
斉藤崇史,直近3年成績,17,2025年9月JRA通算300勝、6月から15週連続勝利(歴代2位タイ)という直近の勢いは顕著。
斉藤崇史,運用力,14,少数精鋭(馬房数20)の体制で高い勝ち上がり率を実現。
斉藤崇史,ブランド,5,クロノジェネシスGI4勝、ジェラルディーナGI1勝で高いブランド力。
杉山晴紀,クラブ馬実績,30,ノルマンディーオーナーズクラブ所属デアリングタクト(無敗三冠)、2026年ダービー馬ロブチェンを管理。
杉山晴紀,種牡馬相性,10,得意種牡馬の統計的傾向は情報不足(キズナ等への言及はあるが確度中)。
杉山晴紀,直近3年成績,20,2025年JRA全国リーディング1位(61勝)、2026年7月に現役最速ペースで通算400勝達成。
杉山晴紀,運用力,12,具体的な放牧・ローテーション運用のコメントは情報不足だが、高速の勝利ペースは効率的運用を示唆。
杉山晴紀,ブランド,5,史上初の無敗牝馬三冠デアリングタクトと2026年ダービー馬ロブチェンで最上位ブランド。
須貝尚介,クラブ馬実績,27,キャロット・シルク等からクラブ馬を受託。2025年12月JRA通算600勝達成。
須貝尚介,種牡馬相性,13,父クロフネ(ソダシ、芝短距離~マイル)と父ステイゴールド(ゴールドシップ、長距離)の対照的な適性を使い分けている。
須貝尚介,直近3年成績,8,直近3年の具体的な順位・勝率データは情報不足。
須貝尚介,運用力,8,厩舎の評判には賛否があるとの言及があるが出典の信頼性は限定的なため中立評価。
須貝尚介,ブランド,5,ゴールドシップ・ソダシ等GI複数勝で高いブランド力。
高橋亮,クラブ馬実績,14,キャロットクラブから受託していることは確認できるが、詳細な統計は情報不足。
高橋亮,種牡馬相性,5,得意種牡馬の傾向は情報不足。
高橋亮,直近3年成績,6,2024年5月JRA通算200勝達成以外の直近データは情報不足。
高橋亮,運用力,6,運用スタイルの具体的な情報は情報不足。
高橋亮,ブランド,3,管理馬でのGI実績は確認できず情報不足。
中竹和也,クラブ馬実績,18,アカイイト(エリザベス女王杯)を管理。所属クラブ名の明確な確認は情報不足。
中竹和也,種牡馬相性,6,得意種牡馬の傾向は情報不足。
中竹和也,直近3年成績,7,直近3年の具体的な順位・勝率データは情報不足。
中竹和也,運用力,7,運用スタイルの具体的な情報は情報不足。
中竹和也,ブランド,4,アカイイトのGI(エリザベス女王杯)実績あり。
上村洋行,クラブ馬実績,14,アルマヴェローチェ(阪神JF)を管理。所属クラブ名の明確な確認は情報不足。
上村洋行,種牡馬相性,5,得意種牡馬の傾向は情報不足。
上村洋行,直近3年成績,6,直近3年の具体的な順位・勝率データは情報不足。
上村洋行,運用力,6,元騎手としての経験はあるが運用スタイルの具体的な情報は情報不足。
上村洋行,ブランド,3,阪神JF制覇のみ確認、ブランド力は限定的。
高柳瑞樹,クラブ馬実績,28,社台レースホース所属スターズオンアース(GI複数勝)、デュレッツァ(菊花賞)を管理。
高柳瑞樹,種牡馬相性,7,得意種牡馬の統計的傾向は情報不足。
高柳瑞樹,直近3年成績,11,直近3年の具体的な順位・勝率データは情報不足。
高柳瑞樹,運用力,9,運用スタイルの具体的な情報は情報不足。
高柳瑞樹,ブランド,5,スターズオンアース・デュレッツァの実績で高いブランド力、社台からの信頼度も高いと推測。
斎藤誠,クラブ馬実績,20,クラブ馬管理歴は確認できるが所属クラブ名は情報不足。
斎藤誠,種牡馬相性,6,得意種牡馬の傾向は情報不足。
斎藤誠,直近3年成績,10,"2016年以降通算3,902戦363勝(勝率9.3%)という具体数値はあるが年度別内訳は情報不足。"
斎藤誠,運用力,7,運用スタイルの具体的な情報は情報不足。
斎藤誠,ブランド,4,マーチS・エルムS等重賞実績あり、ブランド力は中堅水準。
田中博康,クラブ馬実績,32,キャロットクラブ所属レモンポップ等ダートGI馬多数を管理、AEI等民間試算でも高評価。
田中博康,種牡馬相性,12,レモンポップ・ミッキーファイト・鳴神など父系問わずダートGIでの強さが顕著で明確な特性。
田中博康,直近3年成績,20,2024年JRA賞最高勝率調教師(勝率.239)受賞、2026年安田記念制覇など公式データに裏付けられた高評価。
田中博康,運用力,16,フランス武者修行、海外重賞制覇など国際的な運用力と芝ダート両対応力が確認できる。
田中博康,ブランド,5,ダートGI多数+2026年芝GI制覇で急速にブランド力が向上中。
松永幹夫,クラブ馬実績,20,キャロット・シルクからクラブ馬を受託。ラッキーライラック(GI4勝)を管理。
松永幹夫,種牡馬相性,6,得意種牡馬の統計的傾向は情報不足。
松永幹夫,直近3年成績,7,直近3年の具体的な順位・勝率データは情報不足。
松永幹夫,運用力,8,2015年JRA賞優秀技術調教師受賞歴があるが直近の運用コメントは情報不足。
松永幹夫,ブランド,5,ラッキーライラックGI4勝でブランド力は高い。
大久保龍志,クラブ馬実績,10,代表馬ディープボンドの馬主は個人であり、所属クラブ名が確認できず情報不足のため低評価。
大久保龍志,種牡馬相性,4,得意種牡馬の傾向は情報不足。
大久保龍志,直近3年成績,5,直近3年の具体的な順位・勝率データは情報不足。
大久保龍志,運用力,5,運用スタイルの具体的な情報は情報不足。
大久保龍志,ブランド,4,ディープボンド天皇賞春制覇の実績あり。
昆貢,クラブ馬実績,12,所属クラブ名の明確な確認は情報不足。
昆貢,種牡馬相性,5,得意種牡馬の傾向は情報不足。
昆貢,直近3年成績,5,"2016年以降通算2,090戦176勝(勝率8.4%)とやや低調、近年の活動規模縮小の可能性。"
昆貢,運用力,6,運用スタイルの具体的な情報は情報不足。
昆貢,ブランド,5,ディープスカイ(日本ダービー)、ヒルノダムール(天皇賞春)の実績あり。
