trainer,training_center,total_score,club_score,sire_score,recent_score,management_score,brand_score,rank,tags,early_debut,late_maturing,grass,dirt,classic,club_fit,northern_fit,summary
友道康夫,栗東,81,29,16,15,16,5,A,クラブ馬向き/晩成育成/クラシック向き/中距離向き/長距離向き/ノーザン向き,0,1,1,0,1,1,1,サンデーレーシング所属のキタサンブラック(GI7勝、顕彰馬)を管理し、2025年JRAリーディング5位(45勝、勝率.144、複勝率.375)。強みは「馬優先」で無理をさせず長期的な成長曲線を重視する育成哲学と、ノーザンファーム等外部施設も活用する柔軟な運用力。晩成のステイヤー血統(父ブラックタイドのキタサンブラックなど)をじっくり仕上げる方針との相性が非常に良い。弱みは種牡馬別の統計的傾向やクラブ別の詳細な回収率データが公開情報からは確認できない点。向く血統はブラックタイド系などの晩成・長距離型。早熟マイル・スプリント寄りの血統では強みを発揮しにくい可能性がある。一口馬主としては、長期保有前提でクラシック~長距離GIを狙う出資に適した実力派厩舎と評価できる。
藤原英昭,栗東,60,25,9,11,10,5,C,クラブ馬向き/クラシック向き/中距離向き,0,0,1,0,1,1,0,サンデーサラブレッドクラブ所属のシャフリヤール(日本ダービー、ドバイシーマクラシック)を管理し、2025年2月にJRA通算900勝(史上26人目)を達成した実力派。強みはクラシックから海外GIまで安定して結果を出す総合力とキャリアの長さ。一方、WebSearchでは直近3年(2024-2026)の具体的なリーディング順位・勝率や得意種牡馬の統計的傾向が確認できず情報不足。運用面のコメントも十分な裏付けが取れなかった。向く血統は中距離クラシックに対応できる万能型。データ上の裏付けが薄いため、本評価は実績に対して保守的な点数となっている点に留意が必要。一口馬主としては歴史的信頼度は高いが、直近の勢いを判断する材料が不足しており追加確認を推奨する。
矢作芳人,栗東,72,27,15,16,9,5,B,クラブ馬向き/クラシック向き/中距離向き/勝負師,0,0,1,0,1,1,0,サンデーレーシング所属のコントレイル(無敗三冠馬)を管理し、2024年JRAリーディング(55勝)を獲得、JRA通算900勝も達成した名伯楽。得意種牡馬としてリアルスティール・モズアスコット・パンサラッサ等を自ら挙げており、種牡馬相性の言語化ができている点は強み。一方で多数の所属馬を積極的に出走させる方針のため、勝率・連対率・複勝率は上位厩舎の中では低水準との指摘があり、運用面はやや評価を下げた。向く血統はクラシック~中距離で素質を発揮するタイプ。少数精鋭でじっくり仕上げたい馬には不向きな可能性がある。一口馬主としては「量で勝負」する側面があるため、出走頻度の多さを許容できる出資者向き。
木村哲也,美浦,73,30,8,18,12,5,B,クラブ馬向き/中距離向き/成長株,0,0,1,0,0,1,0,シルクレーシング所属のイクイノックス(天皇賞秋連覇、有馬記念、ドバイシーマクラシック、世界ランキング1位)を管理する現代最高峰の一角。2025年JRAリーディング6位ながら勝率.230・連対率.403・複勝率.461と出走数を抑えつつ高い的中率を誇り、効率的な運用がうかがえる。2011年開業の比較的若い厩舎でありながら短期間で世界的名馬を輩出した点は成長株として高評価。弱みは得意種牡馬や具体的な放牧・ローテーション方針についての公開情報が乏しい点。向く血統は中距離の高い総合力を持つタイプ。一口馬主としては勢いのある新興トップ厩舎として、当たれば大きい出資対象になり得る。
手塚貴久,美浦,67,28,10,12,12,5,C,クラブ馬向き/使い分け上手/中距離向き/クラシック向き/長距離向き,0,0,1,0,1,1,0,サンデーサラブレッドクラブ所属のフィエールマン(天皇賞春連覇)、ソールオリエンス(皐月賞)、シュネルマイスター(NHKマイルC)、アイルラヴァゲイン(エリザベス女王杯)など、マイルから長距離まで異なるタイプのGI馬を輩出しており「使い分け上手」な厩舎と言える。2025年は34勝・222出走で勝率.107とやや効率は低め。強みは多彩な適性の馬を管理できる懐の深さ、弱みは出走数に対する勝率効率とクラブ全体での回収率データの不足。向く血統は距離適性の幅が広いタイプ。一口馬主としては多様な路線の馬を長期的に任せられる安定感のある厩舎。
中内田充正,栗東,81,31,12,18,15,5,A,クラブ馬向き/クラシック向き/ノーザン向き/ローテ巧者/中距離向き,0,0,1,0,1,1,1,サンデーサラブレッドクラブ所属のリバティアイランド(牝馬三冠、ジャパンカップ、香港カップ)を管理し、2023年・2025年ともにJRAリーディング3位と安定した高水準を維持。ノーザンファームしがらきを積極活用(直近4年で298戦)する明確な運用方針が確認でき、ローテーション構築力は高評価。ただし人気馬が集中しやすく単勝回収率は87%程度とやや低めとの分析もあり、過剰人気による妙味の薄さは弱み。向く血統はドゥラメンテ産駒のような素質馬。一口馬主としては「勝てるが妙味は薄い」実力派、出資効率よりも活躍度重視の会員向き。
堀宣行,美浦,53,26,8,6,8,5,D,クラブ馬向き/短距離向き/中距離向き,0,0,1,0,0,1,0,シルクホースクラブ所属のサリオス(毎日王冠2勝)を管理し、モーリス(世界的マイラー、安田記念・マイルCS・香港マイル)、サトノクラウン等、通算重賞90勝(GI25勝)を誇る名伯楽。強みは短距離~中距離まで幅広い層で頂点を獲れる総合力。弱みはWebSearchのみでは直近3年(2024-2026)の順位・勝率、得意種牡馬、運用スタイルの詳細が確認できず情報不足が多い点。向く血統はマイル~中距離のスピード型。一口馬主としては歴史的な実績は申し分ないが、直近の勢いを判断する材料に乏しく追加確認が望ましい。
池江泰寿,栗東,70,29,13,14,9,5,B,クラブ馬向き/クラシック向き/中距離向き/勝負師,0,0,1,0,1,1,0,サンデーレーシング所属のオルフェーヴル(クラシック三冠、有馬記念連覇、宝塚記念)を管理した名門厩舎。2026年1月にJRA通算900勝を達成し、2025年にはソウルラッシュがドバイターフを制するなど海外でも実績を残す。芝はキズナ・ルーラーシップ・クロフネ系、ダートはJustify系との相性が良いとの分析もあるが確度は中程度。弱みは直近3年の具体的な順位・勝率データが乏しい点。向く血統はスタミナと勝負根性を兼ね備えたクラシック向きタイプ。一口馬主としては大舞台での勝負強さに定評があり、GI級の素質馬を任せたい厩舎。
斉藤崇史,栗東,75,30,9,17,14,5,B,クラブ馬向き/少数精鋭/ノーザン向き/成長株,0,0,1,0,0,1,1,サンデーレーシング所属のクロノジェネシス(GI4勝、有馬記念等)、ジェラルディーナ(エリザベス女王杯)を管理。馬房数20の少数精鋭体制で勝ち上がり率34%という具体的な高数値が確認できる点が強み。2025年9月にJRA通算300勝を達成し、6月からの15週連続勝利は歴代2位タイの記録という勢いも評価できる。ノーザンファーム早来での研修を経て開業した経緯からノーザン系との親和性も高い。弱みは得意種牡馬の統計的傾向が未確認な点。向く血統は素質を持つ少数精鋭向きの馬。一口馬主としては新興ながら急成長中の要注目厩舎。
杉山晴紀,栗東,77,30,10,20,12,5,B,クラブ馬向き/クラシック向き/成長株/勝負師/中距離向き,0,0,1,0,1,1,0,ノルマンディーオーナーズクラブ所属のデアリングタクト(史上初の無敗牝馬三冠)を管理し、2026年日本ダービーはロブチェンで制覇。2025年はJRA全国リーディング1位(61勝)を獲得し、2026年7月には開業9年8.5ヶ月という現役最速ペースで通算400勝に到達するなど、直近の勢いは調査対象中で最も顕著。2025年12月には重賞ダブル制覇も達成した。弱みは得意種牡馬や放牧・ローテーションの具体的な運用方針についての情報が乏しい点。向く血統はクラシック路線で活躍できる素質馬。一口馬主としては今まさに勢いに乗っている旬の厩舎であり注目度が高い。
