trainer,strength,weakness,recommended_type,not_recommended_type,comment
友道康夫,無理をさせない長期育成方針と外部施設を活用する柔軟な運用力。キタサンブラック級の大物を仕上げた実績。,種牡馬別・クラブ別の詳細な統計データが公開情報から確認しづらい。,晩成のステイヤー血統、じっくり育てて開花するタイプ,即戦力・早熟スプリンター気質の馬,サンデー・社台系の中距離~長距離クラシックホースを長期保有前提で任せたい会員に最適。
藤原英昭,クラシックから海外GIまで対応できる総合力とJRA通算900勝という圧倒的なキャリア。,直近3年の具体的な順位・勝率、得意種牡馬の傾向がWebSearchでは確認できず判断材料が不足。,中距離クラシックに対応できる万能型,情報不足のため判断が難しい,歴史的信頼度は非常に高いが、直近の勢いを見極める材料が乏しいため募集馬個別の状態確認を推奨。
矢作芳人,2024年JRAリーディング獲得、コントレイルなど大物輩出。得意種牡馬を明言できる分析力。,多数出走方針のため勝率・連対率・複勝率が上位厩舎の中では相対的に低水準との指摘。,クラシック~中距離で素質を発揮するタイプ,少数精鋭でじっくり仕上げたい馬,出走頻度の多さを許容できる会員向き。当たれば大きいがムラも意識したい厩舎。
木村哲也,世界ランキング1位イクイノックスを育てた効率重視の運用力、高い勝率・複勝率。,得意種牡馬や具体的な放牧・ローテーション方針についての公開情報が乏しい。,中距離の高い総合力を持つタイプ,情報不足のため判断が難しい,勢いのある新興トップ厩舎。当たれば大きい出資対象になり得る要注目厩舎。
手塚貴久,マイルから長距離まで異なるタイプのGI馬を輩出できる懐の深さ。,出走数に対する勝率効率がやや低め、クラブ全体での回収率データが不足。,距離適性の幅が広いタイプ,情報不足のため判断が難しい,多様な路線の馬を長期的に任せられる安定感のある厩舎。
中内田充正,2023・2025年ともにリーディング3位という安定した高水準、ノーザンファームしがらき活用によるローテーション構築力。,人気馬が集中しやすく単勝回収率がやや低め(87%程度)との分析。,ドゥラメンテ産駒のような素質馬,情報不足のため判断が難しい,勝てるが妙味は薄い実力派。出資効率よりも活躍度・的中を重視する会員向き。
堀宣行,重賞90勝・GI25勝という圧倒的なキャリアと短距離~中距離での総合力。,直近3年の順位・勝率、得意種牡馬、運用スタイルの詳細情報が不足。,マイル~中距離のスピード型,情報不足のため判断が難しい,歴史的な実績は申し分ないが直近の勢いを判断する材料に乏しく、追加確認が望ましい厩舎。
池江泰寿,クラシック三冠馬オルフェーヴル輩出、900勝達成、ソウルラッシュのドバイターフ制覇など海外での勝負強さ。,直近3年の具体的な順位・勝率データが乏しい。,スタミナと勝負根性を兼ね備えたクラシック向きタイプ,情報不足のため判断が難しい,大舞台での勝負強さに定評があり、GI級の素質馬を任せたい厩舎。
斉藤崇史,馬房数20の少数精鋭体制で勝ち上がり率34%という具体的な高数値、15週連続勝利という勢い。,得意種牡馬の統計的傾向が未確認。,素質を持つ少数精鋭向きの馬,情報不足のため判断が難しい,新興ながら急成長中の要注目厩舎。ノーザン系との親和性も高い。
杉山晴紀,2025年JRA全国リーディング1位、現役最速ペースで通算400勝到達という圧倒的な勢い。,得意種牡馬や具体的な放牧・ローテーション運用方針についての情報が乏しい。,クラシック路線で活躍できる素質馬,情報不足のため判断が難しい,今まさに勢いに乗っている旬の厩舎。デアリングタクト級の期待馬を任せたい会員向き。
